itemid,label,linksto
209,Graft/Flap Pulse,chartevents
210,HOB,chartevents
211,Heart Rate,chartevents
212,Heart Rhythm,chartevents
213,Heart Sounds,chartevents
216,Height of Bed,chartevents
217,Heparin Dose,chartevents
218,High Insp. Pressure,chartevents
219,High Resp. Rate,chartevents
221,I:E Ratio,chartevents
222,I:E Ratio-Calculated,chartevents
223,I:E Ratio-TCPCV,chartevents
224,IABP Mean,chartevents
225,IABP setting,chartevents
226,ICP,chartevents
227,INV Line#1 D/C Date,chartevents
228,INV Line#1 Site Date,chartevents
229,INV Line#1 [Type],chartevents
230,INV Line#1 Zero/Cal,chartevents
231,INV Line#1InsertDate,chartevents
232,INV Line#1SiteAppear,chartevents
233,INV Line#2 D/C Date,chartevents
234,INV Line#2 Site Date,chartevents
235,INV Line#2 [Type],chartevents
236,INV Line#2 Zero/Cal,chartevents
237,INV Line#2InsertDate,chartevents
238,INV Line#2SiteAppear,chartevents
239,INV Line#3 D/C Date,chartevents
240,INV Line#3 Site Date,chartevents
241,INV Line#3 [Type],chartevents
242,INV Line#3 Zero/Cal,chartevents
243,INV Line#3InsertDate,chartevents
244,INV Line#3SiteAppear,chartevents
245,INV Line#4 D/C Date,chartevents
246,INV Line#4 Site Date,chartevents
247,INV Line#4 [Type],chartevents
248,INV Line#4 Zero/Cal,chartevents
249,INV Line#4InsertDate,chartevents
250,INV Line#4SiteAppear,chartevents
251,INV Line#5 D/C Date,chartevents
252,INV Line#5 Site Date,chartevents
253,INV Line#5 [Type],chartevents
254,INV Line#5 Zero/Cal,chartevents
255,INV Line#5InsertDate,chartevents
256,INV Line#5SiteAppear,chartevents
257,INV Line#6 D/C Date,chartevents
258,INV Line#6 Site Date,chartevents
259,INV Line#6 [Type],chartevents
260,INV Line#6 Zero/Cal,chartevents
261,INV Line#6InsertDate,chartevents
262,INV Line#6SiteAppear,chartevents
263,INV Line#7 D/C Date,chartevents
264,INV Line#7 Site Date,chartevents
265,INV Line#7 [Type],chartevents
266,INV Line#7 Zero/Cal,chartevents
267,INV Line#7InsertDate,chartevents
268,INV Line#7SiteAppear,chartevents
269,INV Line#8 D/C Date,chartevents
270,INV Line#8 Site Date,chartevents
271,INV Line#8 [Type],chartevents
272,INV Line#8 Zero/Cal,chartevents
273,INV Line#8InsertDate,chartevents
274,INV Line#8SiteAppear,chartevents
283,INV#1 WaveformAppear,chartevents
284,INV#2 WaveformAppear,chartevents
285,INV#3 WaveformAppear,chartevents
286,INV#4 WaveformAppear,chartevents
287,INV#5 WaveformAppear,chartevents
288,INV#6 WaveformAppear,chartevents
289,INV#7 WaveformAppear,chartevents
290,INV#8 WaveformAppear,chartevents
291,IV #1 D/C Date,chartevents
292,IV #1 Insert Date,chartevents
294,IV #1 [Site],chartevents
295,IV #2 D/C Date,chartevents
296,IV #2 Insert Date,chartevents
297,IV #2 [Site],chartevents
298,IV #3 D/C Date,chartevents
299,IV #3 Insert Date,chartevents
300,IV #3 [Site],chartevents
301,IV #4 D/C Date,chartevents
302,IV #4 Insert Date,chartevents
303,IV #4 [Site],chartevents
308,IV Drip Dose #1,chartevents
309,IV Drip Dose #2,chartevents
310,IV Drip Medication#1,chartevents
311,IV Drip Medication#2,chartevents
320,IV Site #1,chartevents
321,IV Site #2,chartevents
322,IV Site #3,chartevents
323,IV Site #4,chartevents
324,IV Site Appear #1,chartevents
325,IV Site Appear #2,chartevents
326,IV Site Appear #3,chartevents
327,IV Site Appear #4,chartevents
338,Imp Skin Cleanse #1,chartevents
339,Imp Skin Cleanse #2,chartevents
340,Imp Skin Cleanse #3,chartevents
341,Imp Skin Cleanse #4,chartevents
342,Imp Skin Cleanse #5,chartevents
343,Imp Skin Cleanse #6,chartevents
344,ImpSkin Character #1,chartevents
345,ImpSkin Character #2,chartevents
346,ImpSkin Character #3,chartevents
347,ImpSkin Character #4,chartevents
348,ImpSkin Character #5,chartevents
349,ImpSkin Character #6,chartevents
350,ImpSkin #3 [Drain],chartevents
351,ImpSkin #6 [Drain],chartevents
352,ImpSkin #1 [Drain],chartevents
353,ImpSkin #2 [Drain],chartevents
354,ImpSkin #4 [Drain],chartevents
355,ImpSkin #5 [Drain],chartevents
356,ImpSkin Treatment #1,chartevents
357,ImpSkin Treatment #2,chartevents
358,ImpSkin Treatment #3,chartevents
359,ImpSkin Treatment #4,chartevents
360,ImpSkin Treatment #5,chartevents
361,ImpSkin Treatment #6,chartevents
362,ImpSkin Wound Base#1,chartevents
363,ImpSkin Wound Base#2,chartevents
364,ImpSkin Wound Base#3,chartevents
365,ImpSkin Wound Base#4,chartevents
366,ImpSkin Wound Base#5,chartevents
367,ImpSkin Wound Base#6,chartevents
368,ImpSkin #1 [Width],chartevents
369,ImpSkin #2 [Width],chartevents
370,ImpSkin #3 [Width],chartevents
371,ImpSkin #4 [Width],chartevents
372,ImpSkin #5 [Width],chartevents
373,ImpSkin #6 [Width],chartevents
374,Impaired Skin Site#1,chartevents
375,Impaired Skin Site#2,chartevents
376,Impaired Skin Site#3,chartevents
377,Impaired Skin Site#4,chartevents
378,Impaired Skin Site#5,chartevents
379,Impaired Skin Site#6,chartevents
380,Inc Cleansing #1,chartevents
381,Inc Cleansing #2,chartevents
382,Inc Cleansing #3,chartevents
383,Inc Cleansing #4,chartevents
384,Inc Cleansing #5,chartevents
385,Inc Cleansing #6,chartevents
386,Inc #1 [Closure],chartevents
387,Inc #2 [Closure],chartevents
388,Inc #3 [Closure],chartevents
389,Inc #4 [Closure],chartevents
390,Inc #5 [Closure],chartevents
391,Inc #6 [Closure],chartevents
392,Inc #1 [Drainage],chartevents
393,Inc #2 [Drainage],chartevents
394,Inc #3 [Drainage],chartevents
395,Inc #4 [Drainage],chartevents
396,Inc #5 [Drainage],chartevents
397,Inc #6 [Drainage],chartevents
398,Inc #1 [Dressing],chartevents
399,Inc #2 [Dressing],chartevents
400,Inc #3 [Dressing],chartevents
401,Inc #5 [Dressing],chartevents
402,Inc #6 [Dressing],chartevents
403,Inc #4 [Dressing],chartevents
404,Inc/Wound Packing #1,chartevents
405,Inc/Wound Packing #2,chartevents
406,Inc/Wound Packing #3,chartevents
407,Inc/Wound Packing #4,chartevents
408,Inc/Wound Packing #5,chartevents
409,Inc/Wound Packing #6,chartevents
410,Incentive Spirometry,chartevents
411,Incision/Wound #1,chartevents
412,Incision/Wound #2,chartevents
413,Incision/Wound #3,chartevents
414,Incision/Wound #4,chartevents
415,Incision/Wound #5,chartevents
416,Incision/Wound #6,chartevents
417,Inspired Gas Temp,chartevents
418,Intubation Date,chartevents
419,KneeImmobilizeLoc [Right],chartevents
420,LAP,chartevents
421,LCW,chartevents
422,LCWI,chartevents
423,LL Strength/Movement,chartevents
424,LLE [Temp],chartevents
425,LLL Lung Sounds,chartevents
426,LU Strength/Movement,chartevents
427,LUE [Temp],chartevents
428,LUL Lung Sounds,chartevents
429,LVAD Flow LPM,chartevents
430,LVSW,chartevents
431,LVSWI,chartevents
432,Level of Conscious,chartevents
434,Low Exhaled Min Vol,chartevents
435,Low Exhaled Vt,chartevents
436,Low Insp. Pressure,chartevents
437,Low Peep,chartevents
438,MAP,chartevents
439,MDI #1 [Puff],chartevents
440,MDI #2 [Puff],chartevents
441,MDI #3 [Puff],chartevents
442,Manual BP [Systolic],chartevents
443,Manual BP Mean(calc),chartevents
444,Mean Airway Pressure,chartevents
445,Mech. Minute Volume,chartevents
446,Micro-Neb Treatment,chartevents
447,Minimal Leak Present,chartevents
448,Minute Volume,chartevents
449,Minute Volume (Set),chartevents
450,Minute Volume(Obser),chartevents
453,Motor Deficits,chartevents
454,Motor Response,chartevents
455,NBP [Systolic],chartevents
456,NBP Mean,chartevents
457,NMB Medication,chartevents
458,Nares [Right],chartevents
459,Neg Insp Force(>-25),chartevents
460,Nerve Stimulated,chartevents
461,Neuro Drain Drainage,chartevents
462,Neuro Drain [Level],chartevents
463,Neuro Drain Status,chartevents
464,Neuro Drain Type,chartevents
465,Neuro Symptoms,chartevents
466,Nursing Consultation,chartevents
467,O2 Delivery Device,chartevents
468,O2 Delivery Device#2,chartevents
469,O2 Delivery Mode,chartevents
470,O2 Flow (lpm),chartevents
471,O2 Flow (lpm) #2,chartevents
472,O2AV,chartevents
473,O2AVI,chartevents
474,O2ER,chartevents
477,Oral Care,chartevents
478,Oral Cavity,chartevents
479,Orientation,chartevents
480,Orthostat BP sitting [Systolic],chartevents
481,Orthostat HR sitting,chartevents
482,OrthostatBP standing [Systolic],chartevents
483,OrthostatHR standing,chartevents
484,Orthostatic BP lying [Systolic],chartevents
485,Orthostatic HR lying,chartevents
486,Ostomy Care,chartevents
487,Ostomy [Type],chartevents
490,PAO2,chartevents
491,PAP Mean,chartevents
492,PAP [Systolic],chartevents
493,PCA 1 Hr Limit (mg),chartevents
494,PCA Basal Rate,chartevents
495,PCA Bolus,chartevents
496,PCA Dose,chartevents
3521,Myoclonic Jerks,chartevents
3522,NG Feedings,chartevents
3523,NG Tube Taped at:,chartevents
3524,NGT Placement,chartevents
3525,NICU Procedures,chartevents
3528,Na Bicarbonate,chartevents
3530,Narcotic Analgesic,chartevents
3531,Nares Patent [Left],chartevents
3532,Nasal Congestion,chartevents
3536,Nasal Sx Color,chartevents
3537,Nasal Sx Quality,chartevents
3538,Nasal Sx Quantity,chartevents
3539,Neonatal Opium Solut,chartevents
3540,Nipple Type,chartevents
3543,O2 Administration,chartevents
3544,O2 Analyzer Cal,chartevents
3545,O2 Sat W/Seizure,chartevents
3546,O2 Tubing Present,chartevents
3547,OG/NG Residual,chartevents
3548,Oral Abnormalities,chartevents
3549,Oral Sx Color,chartevents
3550,Oral Sx Quality,chartevents
3551,Oral Sx Quantity,chartevents
3553,Ostomy Bag Change,chartevents
3554,Oxacillin,chartevents
3555,PEEP Alarm,chartevents
3556,PIP Alarm,chartevents
916,Allergy 1,chartevents
917,Diagnosis/op,chartevents
919,Service,chartevents
920,Admit Ht,chartevents
924,Readmission,chartevents
925,Marital Status,chartevents
926,Religion,chartevents
5396,ferrous sulfate,chartevents
5401,Gentamycin gtts OU,chartevents
5404,CAFFEINE LOAD,chartevents
5410,Post ductal sat,chartevents
5412,healed penrose site,chartevents
5413,Ativan,chartevents
5421,Abdominal xray,chartevents
5431,CBG,chartevents
5434,"lytes,bili",chartevents
5435,mupirocin ointment,chartevents
5439,Miconazole pwdr,chartevents
5441,mupricin,chartevents
5442,pic line placement,chartevents
5450,Nystatin oint,chartevents
5453,mitrazol powder,chartevents
5455,Lactation Consult,chartevents
5456,Chest Tube,chartevents
5461,phenylephrine drops,chartevents
5462,Tobradex eye ung,chartevents
5464,Fentanyl bolus,chartevents
5468,PIC line placement,chartevents
5469,lytes and bili,chartevents
5470,Pneumogram,chartevents
5473,op. site,chartevents
5478,Gentamycin oint,chartevents
5483,bili level,chartevents
5485,Vit A,chartevents
5486,NYSTATIN ORAL,chartevents
5487,NYSTATIN POWDER,chartevents
5492,Vitamin A,chartevents
5500,vit a,chartevents
5501,O2 sat probe change,chartevents
5502,R ankle,chartevents
5503,L nare,chartevents
5505,O2 sat probe site,chartevents
5507,laceration,chartevents
5513,hydrocyle,chartevents
5515,Na supps,chartevents
5521,Hyperoxia,chartevents
5523,Amoxacillin,chartevents
5527,Bacitracin nose oint,chartevents
5528,Dexamethasone nasal,chartevents
5541,Heparin flush 10u/cc,chartevents
5543,BILI,chartevents
5545,Vit A IM,chartevents
5548,Dressing change,chartevents
5554,zzzzuent Press mmHg,chartevents
5555,waffle boots bil,chartevents
5556,TPA mg/hr,chartevents
5557,peri pad,chartevents
5558,HI/Minute/VOl,chartevents
5559,Peak flow Pred,chartevents
5560,Coccyx drsg change,chartevents
5561,INEXSUFF,chartevents
5562,Breath Sounds,chartevents
5563,HIGH MINUTE VOLUMER,chartevents
5564,bed alarms,chartevents
5565,Isuprel,chartevents
5566,posey,chartevents
5575,Tank pressure,chartevents
5576,Ti,chartevents
5577,acytylcisteine,chartevents
5579,Nitric [PSIG],chartevents
5581,T-Low,chartevents
5582,p-high,chartevents
5584,t-high,chartevents
5585,MINUTE VOL. HIGH,chartevents
5587,CYCLOSPORIN --MG/HR,chartevents
5588,cyclosporin 3mg/hr,chartevents
5590,warm pack to LUE,chartevents
5592,MMV rate,chartevents
5593,MMV tidal volume,chartevents
5595,factor ten,chartevents
